tema,fonte,url
"Base consolidada da temporada, partidas, elenco, gols, assistências e transferências",2025 CR Flamengo season,https://en.wikipedia.org/wiki/2025_CR_Flamengo_season
Campanha oficial do Campeonato Brasileiro,CBF — histórico e estatísticas do Flamengo no Brasileirão 2025,https://www.cbf.com.br/futebol-brasileiro/times/campeonato-brasileiro/serie-a/2025/20016/20031?tab=historico-de-partidas
Título do Campeonato Brasileiro,CBF — Flamengo é campeão do Brasileirão 2025,https://www.cbf.com.br/futebol-brasileiro/noticias/campeonato-brasileiro/serie-a/flamengo-e-campeao-do-brasileirao-betano-2025
Título da Supercopa Rei,CBF — Flamengo é tricampeão da Supercopa Rei,https://www.cbf.com.br/futebol-brasileiro/noticias/jogosdehoje-supercopa/a/flamengo-e-tricampeao-da-supercopa-rei
Título do Campeonato Carioca,Flamengo — campeão carioca pela 39ª vez,https://www.flamengo.com.br/noticias/futebol/mengao-fica-no-0-a-0-com-o-fluminense-e-conquista-o-campeonato-carioca-pela-39--vez
Taça Guanabara,Flamengo — 25º título da Taça Guanabara,https://www.flamengo.com.br/noticias/futebol/mengao-goleia-o-marica-e-conquista-o-25--titulo-da-taca-guanabara
Título da CONMEBOL Libertadores,CBF — Flamengo conquista o tetra da Libertadores,https://www.cbf.com.br/futebol-brasileiro/noticias/campeonato-brasileiro/serie-b/flamengo-vence-palmeiras-e-ganha-o-tetra-da-libertadores
Eliminação na Copa do Mundo de Clubes,FIFA — Flamengo 2 x 4 Bayern de Munique,https://www.fifa.com/pt/tournaments/mens/club-world-cup/usa-2025/articles/flamengo-bayern-munique-resumo-melhores-momentos-video-oitavas-final
Vice-campeonato da Copa Intercontinental,FIFA — informações da Copa Intercontinental 2025,https://www.fifa.com/pt/tournaments/mens/intercontinentalcup/2025/articles/copa-intercontinental-2025-informacoes-data-local-clubes
Escudo usado no cabeçalho,Wikimedia Commons — Clube de Regatas do Flamengo logo.svg,https://commons.wikimedia.org/wiki/File:Flamengo_braz_logo.svg
