jogo_id,data,competicao,fase_rodada,mandante,visitante,gols_mandante,gols_visitante,gols_flamengo,gols_adversario,resultado,condicao,estadio,cidade,no_maracana,grupo_local,publico,placar_fonte
1,2025-01-12,Campeonato Carioca,1,Flamengo,Boavista,1,2,1,2,Derrota,Mandante,Batistão,Aracaju,False,Outros estádios,3793.0,1–2
2,2025-01-16,Campeonato Carioca,2,Madureira,Flamengo,1,1,1,1,Empate,Visitante,Amigão,Campina Grande,False,Outros estádios,3614.0,1–1
3,2025-01-19,Campeonato Carioca,3,Flamengo,Nova Iguaçu,1,2,1,2,Derrota,Mandante,Castelão,São Luís,False,Outros estádios,4696.0,1–2
4,2025-01-22,Campeonato Carioca,4,Bangu,Flamengo,0,5,5,0,Vitória,Visitante,Castelão,São Luís,False,Outros estádios,33077.0,0–5
5,2025-01-25,Campeonato Carioca,5,Volta Redonda,Flamengo,0,2,2,0,Vitória,Visitante,Arena BRB Mané Garrincha,Brasília,False,Outros estádios,23873.0,0–2
6,2025-01-30,Campeonato Carioca,6,Flamengo,Sampaio Corrêa,2,0,2,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,20455.0,2–0
7,2025-02-02,Supercopa Rei,Final Clássico da Rivalidade,Botafogo,Flamengo,1,3,3,1,Vitória,Neutro,Mangueirão,Belém,False,Outros estádios,44952.0,1–3
8,2025-02-05,Campeonato Carioca,8,Portuguesa,Flamengo,0,5,5,0,Vitória,Visitante,Parque do Sabiá,Uberlândia,False,Outros estádios,16296.0,0–5
9,2025-02-08,Campeonato Carioca,9 Fla–Flu,Fluminense,Flamengo,0,0,0,0,Empate,Visitante,Maracanã,Rio de Janeiro,True,Maracanã,37838.0,0–0
10,2025-02-12,Campeonato Carioca,7 Clássico da Rivalidade,Flamengo,Botafogo,1,0,1,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,33465.0,1–0
11,2025-02-15,Campeonato Carioca,10 Clássico dos Milhões,Flamengo,Vasco da Gama,2,0,2,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,44543.0,2–0
12,2025-02-22,Campeonato Carioca,11,Flamengo,Maricá,5,0,5,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,29544.0,5–0
13,2025-03-01,Campeonato Carioca,First leg Clássico dos Milhões,Vasco da Gama,Flamengo,0,1,1,0,Vitória,Visitante,Nilton Santos,Rio de Janeiro,False,Outros estádios,10966.0,0–1
14,2025-03-08,Campeonato Carioca,Second leg Clássico dos Milhões,Flamengo,Vasco da Gama,2,1,2,1,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,55096.0,2–1  (3–1 agg.)
15,2025-03-12,Campeonato Carioca,First leg Fla–Flu,Fluminense,Flamengo,1,2,2,1,Vitória,Visitante,Maracanã,Rio de Janeiro,True,Maracanã,39120.0,1–2
16,2025-03-16,Campeonato Carioca,Second leg Fla–Flu,Flamengo,Fluminense,0,0,0,0,Empate,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,69393.0,0–0  (2–1 agg.)
17,2025-03-29,Campeonato Brasileiro Série A,1,Flamengo,Internacional,1,1,1,1,Empate,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,48452.0,1–1
18,2025-04-03,CONMEBOL Libertadores,1,Deportivo Táchira,Flamengo,0,1,1,0,Vitória,Visitante,Polideportivo de Pueblo Nuevo,"San Cristóbal, Venezuela",False,Outros estádios,18138.0,0–1
19,2025-04-06,Campeonato Brasileiro Série A,2,Vitória,Flamengo,1,2,2,1,Vitória,Visitante,Barradão,Salvador,False,Outros estádios,29493.0,1–2
20,2025-04-09,CONMEBOL Libertadores,2,Flamengo,Central Córdoba,1,2,1,2,Derrota,Mandante,Maracanã,"Rio de Janeiro, Brazil",True,Maracanã,56515.0,1–2
21,2025-04-13,Campeonato Brasileiro Série A,3,Grêmio,Flamengo,0,2,2,0,Vitória,Visitante,Arena do Grêmio,Porto Alegre,False,Outros estádios,23367.0,0–2
22,2025-04-16,Campeonato Brasileiro Série A,4,Flamengo,Juventude,6,0,6,0,Vitória,Mandante,Maracanã,Rio de Janeiro,True,Maracanã,31445.0,6–0
23,2025-04-19,Campeonato Brasileiro Série A,5 Clássico dos Milhões,Vasco da Gama,Flamengo,0,0,0,0,Empate,Visitante,Maracanã,Rio de Janeiro,True,Maracanã,39027.0,0–0
